id,orig_label,premise,hypothesis,attack_label,after_attack
23,entailment,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,fannie flono 就 在 这里 ， 她 将 与 我们 分享 她 在 奥古斯塔 成 长 的 童年 故事 。,neutral,fannie flono 就 在 这里 ， 她 将 连同 我们 分享 她 在 奥古斯塔 完全 善于 的 童年 故事 。
24,entailment,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,fannie flono 就 在 这里 ， 她 将 与 我们 分享 她 在 奥古斯塔 成 长 的 童年 故事 。,contradiction,fannie flono 就 在 这里 ， 她 将 与 我们 分享 她 在 奥古斯塔 完全 长 的 童年 故事 。
25,neutral,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,尽管 fannie flono 的 日程 安排 很 紧 ， 但 她 今天 仍 能 和 我们 谈话 。,entailment,尽管 fannie flono 的 日程 安排 相当 严 ， 然而 她 今 以 能 以及 阿拉 谈话 。
26,neutral,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,尽管 fannie flono 的 日程 安排 很 紧 ， 但 她 今天 仍 能 和 我们 谈话 。,contradiction,尽管 fannie flono 的 日程 安排 至极 紧 ， 只有 她 今天 仍 能 和 真主 谈话 。
27,entailment,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 处理 了 u2 的 问题 。,neutral,弟 处理 了 u2 的 问题 。
28,entailment,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 处理 了 u2 的 问题 。,contradiction,我 勾当 了 u2 的 讲 。
29,contradiction,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 根本 没 和 u2 乐队 打交道 。,neutral,我 本 末期 和 u2 腰带 打交道 。
30,contradiction,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 根本 没 和 u2 乐队 打交道 。,entailment,我 根 终了 和 u2 乐队 打交道 。
31,neutral,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 和 u2 的 分队 一 起 工作 了 四十 年 。,entailment,我 和 u2 的 分队 一 起 运作 了 二十五 年 。
32,neutral,我 已经 从 u2 乐队 中 去 除了 5 个 超然,我 和 u2 的 分队 一 起 工作 了 四十 年 。,contradiction,我 和 u2 的 分队 只有 起 事务 了 四十 谷物 。
33,neutral,我 是 唯一 一个 ， 呃 ， 在 微型 的 高度 室 里 做 测试 一直 运行 调节器 的 人 。,我 不 喜欢 成为 唯一 一个 为 测试 运行 监管 机构 的 人 。,entailment,我 勿 喜欢 走向 唯一 一个 为 测试 运行 监管 机构 的 人 。
34,neutral,我 是 唯一 一个 ， 呃 ， 在 微型 的 高度 室 里 做 测试 一直 运行 调节器 的 人 。,我 不 喜欢 成为 唯一 一个 为 测试 运行 监管 机构 的 人 。,contradiction,我 不 爱好 成为 唯一 一个 为 测试 运行 监管 机构 的 人 。
35,contradiction,“ 我 是呃 ， 首席 军士长 ， 退休 了 。 ” 里克 说 。,我 至今 仍 在 努力 。,neutral,我 至今 迄今 在 努力 。
36,contradiction,“ 我 是呃 ， 首席 军士长 ， 退休 了 。 ” 里克 说 。,我 至今 仍 在 努力 。,entailment,我 今 以 在 尽力而为 。
37,entailment,“ 我 是呃 ， 首席 军士长 ， 退休 了 。 ” 里克 说 。,瑞克 告诉 你我 退休 了 。,Failed,瑞克 告诉 你我 退休 了 。
38,entailment,“ 我 是呃 ， 首席 军士长 ， 退休 了 。 ” 里克 说 。,瑞克 告诉 你我 退休 了 。,contradiction,瑞克 告诉 你我 休 了 。
39,neutral,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,这个 名叫 卡蒂 的 客户 每月 能 赚 10000 美元 。,Failed,这个 名叫 卡蒂 的 客户 每月 能 赚 10000 美元 。
40,neutral,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,这个 名叫 卡蒂 的 客户 每月 能 赚 10000 美元 。,Failed,这个 名叫 卡蒂 的 客户 每月 能 赚 10000 美元 。
41,entailment,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,有 个 客户 叫 卡 提 。,neutral,有 单身 客户 召唤 卡路里 提 。
42,entailment,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,有 个 客户 叫 卡 提 。,contradiction,是 独自 客户 叫 卡 提 。
43,contradiction,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,我们 没有 叫 cutty 的 客户 。,neutral,在下 并没有 叫 cutty 的 客家 。
44,contradiction,我 的 桌子 上 有 一些 现金流 的 推算 ， 嗯 ， 呃 ， 是 这个 ， 这个 cutty ， 这 是 客户 的 名字 。,我们 没有 叫 cutty 的 客户 。,entailment,我们 并没有 叫 cutty 的 客户 。
45,neutral,能 帮助 我 的 女孩 在 小镇 的 另 一边 。,要 来 帮 我 的 女孩 在 5 英里 外 。,entailment,要 来 帮 我 的 女孩 在 8 迈 外 。
46,neutral,能 帮助 我 的 女孩 在 小镇 的 另 一边 。,要 来 帮 我 的 女孩 在 5 英里 外 。,contradiction,就要 然后 撑 我 的 女孩 在 2 迈 外 。
47,contradiction,能 帮助 我 的 女孩 在 小镇 的 另 一边 。,没有 人 能 帮助 我 。,neutral,并没有 人 罐头 帮助 我 。
48,contradiction,能 帮助 我 的 女孩 在 小镇 的 另 一边 。,没有 人 能 帮助 我 。,entailment,并没有 人 能 帮助 我 。
49,neutral,这些 孩子 被 按 农工 ， 按 大院 孩子 分类 ， 就 像 是 -- 。,他们 不 同意 谁 应该 在 棉花 地 里 干活 ， 谁 应该 拖地板 。,Failed,他们 不 同意 谁 应该 在 棉花 地 里 干活 ， 谁 应该 拖地板 。
50,neutral,这些 孩子 被 按 农工 ， 按 大院 孩子 分类 ， 就 像 是 -- 。,他们 不 同意 谁 应该 在 棉花 地 里 干活 ， 谁 应该 拖地板 。,contradiction,他们 无 同意 谁 应该 在 棉花 地 里 干活 ， 谁 应该 拖地板 。
51,contradiction,今天 他 要 和 我们 谈谈 third ss ， u2 quick 和 blackbird 。,他 决定 不再 说话 了 。,Failed,他 决定 不再 说话 了 。
52,contradiction,今天 他 要 和 我们 谈谈 third ss ， u2 quick 和 blackbird 。,他 决定 不再 说话 了 。,Failed,他 决定 不再 说话 了 。
53,neutral,今天 他 要 和 我们 谈谈 third ss ， u2 quick 和 blackbird 。,他 谈 到 三 种 不同 的 潜艇 。,Failed,他 谈 到 三 种 不同 的 潜艇 。
54,neutral,今天 他 要 和 我们 谈谈 third ss ， u2 quick 和 blackbird 。,他 谈 到 三 种 不同 的 潜艇 。,contradiction,他 谈 于 三 阿弥陀佛 分歧 的 潜艇 。
55,contradiction,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,他们 所有 的 孩子 都 活 了 下来 。,neutral,他们 各位 的 孩子 一经 活 了 告终 。
56,contradiction,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,他们 所有 的 孩子 都 活 了 下来 。,Failed,他们 所有 的 孩子 都 活 了 下来 。
57,entailment,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,五 人 中 有 一个 孩子 丧生 。,neutral,五 人 中文 有 一个 孩子 丧生 。
58,entailment,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,五 人 中 有 一个 孩子 丧生 。,contradiction,五 成年人 就 有 一个 孩子 升天 。
59,neutral,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,这 位 死去 的 儿童 ， 出生 的 时候 就是 病恹恹 的 。,entailment,立时 位 死去 的 孩子 ， 生 的 时候 只是 病恹恹 的 。
60,neutral,我 的 意思 是 ， 他们 只 有 五 个 孩子 ， 其中 的 一个 已经 死 了 。,这 位 死去 的 儿童 ， 出生 的 时候 就是 病恹恹 的 。,contradiction,这 位 死去 的 儿童 ， 下地 的 时候 就是 病恹恹 的 。
61,entailment,她 说 只 有 眼泪 从 她 眼中 流下 ， 她 说 ， 然后 她 说 乔 在 门廊 出現 。,她 叫 他 走 到 门廊 上 ， 眼里 噙 着 泪水 。,neutral,她 召唤 他 走 来到 门廊 上 ， 眼里 噙 应用 泪水 。
62,entailment,她 说 只 有 眼泪 从 她 眼中 流下 ， 她 说 ， 然后 她 说 乔 在 门廊 出現 。,她 叫 他 走 到 门廊 上 ， 眼里 噙 着 泪水 。,contradiction,她 叫 他 走 到 门廊 上 ， 眼里 噙 近乎 泪水 。
63,entailment,即使 飞机 着火了 ， 它 也 会 燃烧 并 通过 使 铅制 组件 熔化 来 让 辐射 泄露 出去 。,飞机 燃烧 后 ， 辐射 会 从 铅 元件 中 泄漏 。,neutral,飞机 燃烧 后 ， 辐射 会 以来 铅 元件 中 泄漏 。
64,entailment,即使 飞机 着火了 ， 它 也 会 燃烧 并 通过 使 铅制 组件 熔化 来 让 辐射 泄露 出去 。,飞机 燃烧 后 ， 辐射 会 从 铅 元件 中 泄漏 。,contradiction,飞机 燃烧 后面 ， 辐射 会儿 从 引导 元件 中 透露 。
65,contradiction,即使 飞机 着火了 ， 它 也 会 燃烧 并 通过 使 铅制 组件 熔化 来 让 辐射 泄露 出去 。,在 火灾 时 ， 辐射 不 会 泄漏 。,neutral,在 解雇 时节 ， 辐射 都 会 泄漏 。
66,contradiction,即使 飞机 着火了 ， 它 也 会 燃烧 并 通过 使 铅制 组件 熔化 来 让 辐射 泄露 出去 。,在 火灾 时 ， 辐射 不 会 泄漏 。,entailment,在 火灾 时 ， 辐射 可 会 泄漏 。
67,neutral,这 是 士官 长 clem francis ， 原 空军 少校 ， 他 已经 从 美国 空军 退役 。,这 位 负责人 几 周 前 刚刚 退休 。,entailment,这 位 负责人 几何 礼拜 前面 甫 休 。
68,neutral,这 是 士官 长 clem francis ， 原 空军 少校 ， 他 已经 从 美国 空军 退役 。,这 位 负责人 几 周 前 刚刚 退休 。,contradiction,马上 处于 负责人 差点 礼拜 前任 只 退休 。
69,neutral,那么 它 就 到 了 一 两 周 内 有 两 架 或 三 架 飞机 到达 的 地方 ， 而 我 不 知道 他们 飞 往 哪里 。,空中 交通 与日俱增 ， 令 人 烦恼 。,Failed,空中 交通 与日俱增 ， 令 人 烦恼 。
70,neutral,那么 它 就 到 了 一 两 周 内 有 两 架 或 三 架 飞机 到达 的 地方 ， 而 我 不 知道 他们 飞 往 哪里 。,空中 交通 与日俱增 ， 令 人 烦恼 。,Failed,空中 交通 与日俱增 ， 令 人 烦恼 。
71,contradiction,那么 它 就 到 了 一 两 周 内 有 两 架 或 三 架 飞机 到达 的 地方 ， 而 我 不 知道 他们 飞 往 哪里 。,从来 没有 飞机 到达 。,neutral,一向 并没有 飞机 射程 。
72,contradiction,那么 它 就 到 了 一 两 周 内 有 两 架 或 三 架 飞机 到达 的 地方 ， 而 我 不 知道 他们 飞 往 哪里 。,从来 没有 飞机 到达 。,entailment,永 并没有 飞机 到达 。
73,neutral,他们 已经 穿 上 全 压力 服装 进行 训练 ， 如果 你 穿 全 压力 服 ， 我 会 花上 一 段 时间 帮 你 。,完成 完全 压力 衣 的 使用 培训 最 长 要 花 三 个 月 。,entailment,了 完成 压力 衣 的 采取 列车 至 长短 如果 费 二 个别 月球 。
74,neutral,他们 已经 穿 上 全 压力 服装 进行 训练 ， 如果 你 穿 全 压力 服 ， 我 会 花上 一 段 时间 帮 你 。,完成 完全 压力 衣 的 使用 培训 最 长 要 花 三 个 月 。,contradiction,完成 完全 压迫 衣 的 用途 培训 最 长 要 花 三 独 月亮 。
75,entailment,他们 已经 穿 上 全 压力 服装 进行 训练 ， 如果 你 穿 全 压力 服 ， 我 会 花上 一 段 时间 帮 你 。,使用 全 压力 服 的 训练 耗费 时间 。,neutral,使用 全 压力 服 的 实习 耗费 时间 。
76,entailment,他们 已经 穿 上 全 压力 服装 进行 训练 ， 如果 你 穿 全 压力 服 ， 我 会 花上 一 段 时间 帮 你 。,使用 全 压力 服 的 训练 耗费 时间 。,contradiction,使用 完全 压力 服 的 训练 耗费 时间 。
77,neutral,我 想 说 ， 接近 炸弹 不 会 有 危险 ， 因为 它 不 会 爆炸 ， 无论 你 多么 用力 的 摔 它 。,炸弹 已 被 飞行员 拆除 。,Failed,炸弹 已 被 飞行员 拆除 。
78,neutral,我 想 说 ， 接近 炸弹 不 会 有 危险 ， 因为 它 不 会 爆炸 ， 无论 你 多么 用力 的 摔 它 。,炸弹 已 被 飞行员 拆除 。,Failed,炸弹 已 被 飞行员 拆除 。
79,contradiction,这 看 起来 和 我 想 做 的 完全 一样 。,我 不 知道 你 对 此 的 看法 。,neutral,我 都 知道 你 对 此 的 收看 。
80,contradiction,这 看 起来 和 我 想 做 的 完全 一样 。,我 不 知道 你 对 此 的 看法 。,entailment,我 可 知道 你 对 此 的 看法 。
81,entailment,这 看 起来 和 我 想 做 的 完全 一样 。,显然 ， 我 正在 努力 做到 这 一 点 。,neutral,显然 ， 我 正在 努力 做到 这 一 点钟 。
82,entailment,这 看 起来 和 我 想 做 的 完全 一样 。,显然 ， 我 正在 努力 做到 这 一 点 。,contradiction,显然 ， 我 恰 竭尽全力 做到 这 乙 点 。
83,neutral,这 看 起来 和 我 想 做 的 完全 一样 。,我 正在 努力 下周 完成 我 的 项目 。,Failed,我 正在 努力 下周 完成 我 的 项目 。
84,neutral,这 看 起来 和 我 想 做 的 完全 一样 。,我 正在 努力 下周 完成 我 的 项目 。,Failed,我 正在 努力 下周 完成 我 的 项目 。
85,neutral,无论如何 ， 动物 总是 能 摆脱 防守 ， 尤其 是 山羊 。,山羊 每天 从 谷仓 逃跑 。,Failed,山羊 每天 从 谷仓 逃跑 。
86,neutral,无论如何 ， 动物 总是 能 摆脱 防守 ， 尤其 是 山羊 。,山羊 每天 从 谷仓 逃跑 。,Failed,山羊 每天 从 谷仓 逃跑 。
87,entailment,无论如何 ， 动物 总是 能 摆脱 防守 ， 尤其 是 山羊 。,山羊 经常 逃跑 。,Failed,山羊 经常 逃跑 。
88,entailment,无论如何 ， 动物 总是 能 摆脱 防守 ， 尤其 是 山羊 。,山羊 经常 逃跑 。,contradiction,山羊 总是 脱身 。
89,contradiction,我们 进去 时 门 被 锁 上 了 。,所有 的 门 都 打开 了 。,neutral,所有 的 家庭 都 打开 了 。
90,contradiction,我们 进去 时 门 被 锁 上 了 。,所有 的 门 都 打开 了 。,entailment,各位 的 门 都 打开 了 。
91,entailment,我们 进去 时 门 被 锁 上 了 。,即使 门 被 锁 上 了 ， 我们 还 是 进去 了 。,neutral,即使 门 被 关岛 上 了 ， 我们 还 是 进去 了 。
92,entailment,我们 进去 时 门 被 锁 上 了 。,即使 门 被 锁 上 了 ， 我们 还 是 进去 了 。,contradiction,不怕 门 被 锁 上 了 ， 我们 还 是 进去 了 。
93,neutral,他 来 了 ， 打 开门 ， 我 记得 我 回头 看 了 看 他 脸上 的 表情 ， 我 可以 说 他 当时 很 失望 。,他 试图 不 让 我们 感到 内疚 ， 但 我们 知道 我们 已经 给 他 带来 了 麻烦 。,entailment,他 准备 不 让 我们 感到 内疚 ， 只不过 我们 清楚 我们 已经 给 他 带来 了 错位 。
94,neutral,他 来 了 ， 打 开门 ， 我 记得 我 回头 看 了 看 他 脸上 的 表情 ， 我 可以 说 他 当时 很 失望 。,他 试图 不 让 我们 感到 内疚 ， 但 我们 知道 我们 已经 给 他 带来 了 麻烦 。,contradiction,他 尝 任何 让 我们 感 内疚 ， 只有 我们 知道 我们 已经 给 他 带来 了 麻烦 。
95,entailment,他 来 了 ， 打 开门 ， 我 记得 我 回头 看 了 看 他 脸上 的 表情 ， 我 可以 说 他 当时 很 失望 。,从 他 进 门 时 脸上 的 表情 看 ， 我 就 知道 他 很 失望 。,neutral,由于 他 进 门 时 脸上 的 嘴脸 看 ， 我 就 知道 他 很 失望 。
96,entailment,他 来 了 ， 打 开门 ， 我 记得 我 回头 看 了 看 他 脸上 的 表情 ， 我 可以 说 他 当时 很 失望 。,从 他 进 门 时 脸上 的 表情 看 ， 我 就 知道 他 很 失望 。,contradiction,从 他 进 门 时 脸上 的 表情 看 ， 我 就 知道 他 很 黯然 。
97,contradiction,所以 ， 我 没有 任何 具体 的 故事 。,我 有 1 个 具体 商店 。,neutral,我 有 1 个 简直 商店 。
98,contradiction,所以 ， 我 没有 任何 具体 的 故事 。,我 有 1 个 具体 商店 。,Failed,我 有 1 个 具体 商店 。
99,neutral,所以 ， 我 没有 任何 具体 的 故事 。,有 许多 商店 。,entailment,存在 数以万计 商铺 。
100,neutral,所以 ， 我 没有 任何 具体 的 故事 。,有 许多 商店 。,contradiction,有 好多 商店 。
101,neutral,而且 ， 我 从来 不 用为 自己 争取 什么 。,他 得到 食物 和 衣服 的 帮助 。,Failed,他 得到 食物 和 衣服 的 帮助 。
102,neutral,而且 ， 我 从来 不 用为 自己 争取 什么 。,他 得到 食物 和 衣服 的 帮助 。,contradiction,他 得到 食用 和 衣服 的 帮助 。
103,contradiction,而且 ， 我 从来 不 用为 自己 争取 什么 。,他 非常 独立 。,neutral,他 极度 孤儿 。
104,contradiction,而且 ， 我 从来 不 用为 自己 争取 什么 。,他 非常 独立 。,entailment,他 至极 独立 。
105,entailment,所以 我 就 像 这样 ， 哦 ， 我 的 天哪 ， 雷蒙娜 正 站 在 那里 。,我 满怀 敬畏 的 看 着 雷 蒙娜 端坐 在 那里 。,neutral,我 满怀 爱戴 的 看 着 雷 蒙娜 端坐 在 那里 。
106,entailment,所以 我 就 像 这样 ， 哦 ， 我 的 天哪 ， 雷蒙娜 正 站 在 那里 。,我 满怀 敬畏 的 看 着 雷 蒙娜 端坐 在 那里 。,contradiction,我 满怀 敬畏 的 看 近乎 雷 蒙娜 端坐 在 那里 。
107,neutral,事实 是 ， 她 很 轻松 ！,她 吃 了 很多 东西 ， 但 仍然 保持 体重 下降 。,Failed,她 吃 了 很多 东西 ， 但 仍然 保持 体重 下降 。
108,neutral,事实 是 ， 她 很 轻松 ！,她 吃 了 很多 东西 ， 但 仍然 保持 体重 下降 。,contradiction,她 消 了 多 东西 ， 只有 仍然 留 体重 跌 。
109,neutral,我 不 知道 在 那 之后 他 是否 还 留 在 奥古斯塔 。,即使 在 袭击 发生 之后 ， 他 仍然 住 在 奥古斯塔 。,entailment,如果 在 进攻 发生 之后 ， 他 仍 住 在 奥古斯塔 。
110,neutral,我 不 知道 在 那 之后 他 是否 还 留 在 奥古斯塔 。,即使 在 袭击 发生 之后 ， 他 仍然 住 在 奥古斯塔 。,contradiction,即使 在 冲击 发生 之后 ， 他 仍然 住 在 奥古斯塔 。
111,contradiction,我 不 知道 在 那 之后 他 是否 还 留 在 奥古斯塔 。,他 立刻 搬 到 奥古斯塔 外面 。,neutral,他 随机 搬 到 奥古斯塔 外面 。
112,contradiction,我 不 知道 在 那 之后 他 是否 还 留 在 奥古斯塔 。,他 立刻 搬 到 奥古斯塔 外面 。,entailment,他 随后 移 于 奥古斯塔 外面 。
113,contradiction,我们 所 做 的 一切 ， 他们 从来 没有 告诉 我们 任何 他们 会 去 的 地方 ， 即使 他们 离开 基地 去 其他 地方 暂时 ,他们 一向 让 我们 知道 他们 在 哪 和 他们 要 去 哪 。,neutral,他们 一向 让 我们 知道 他们 在 哪 和 他们 要 干掉 哪 。
114,contradiction,我们 所 做 的 一切 ， 他们 从来 没有 告诉 我们 任何 他们 会 去 的 地方 ， 即使 他们 离开 基地 去 其他 地方 暂时 ,他们 一向 让 我们 知道 他们 在 哪 和 他们 要 去 哪 。,entailment,他们 一向 让 某人 知情 他们 在 哪 和 他们 要 去除 哪 。
115,entailment,我们 所 做 的 一切 ， 他们 从来 没有 告诉 我们 任何 他们 会 去 的 地方 ， 即使 他们 离开 基地 去 其他 地方 暂时 ,他们 从未 告诉 我们 他们 要 去 哪里 。,neutral,他们 从未 报告 我们 他们 想要 干掉 哪里 。
116,entailment,我们 所 做 的 一切 ， 他们 从来 没有 告诉 我们 任何 他们 会 去 的 地方 ， 即使 他们 离开 基地 去 其他 地方 暂时 ,他们 从未 告诉 我们 他们 要 去 哪里 。,contradiction,他们 从没 告诉 我们 他们 要 去 哪里 。
117,contradiction,他们 说 ， 我们 付钱 租 一个 地方 给 你 用 作 停留 之 用 。,他们 不 会 为 我们 出 一 分 钱 。,neutral,他们 不 会 为 我们 发泄 唯一 分钟 钱 。
118,contradiction,他们 说 ， 我们 付钱 租 一个 地方 给 你 用 作 停留 之 用 。,他们 不 会 为 我们 出 一 分 钱 。,entailment,他们 勿 会 为 我们 出 一 分 钱 。
119,entailment,他们 说 ， 我们 付钱 租 一个 地方 给 你 用 作 停留 之 用 。,他们 在 为 住房 买单 。,neutral,前途 在 当成 屋子 买单 。
120,entailment,他们 说 ， 我们 付钱 租 一个 地方 给 你 用 作 停留 之 用 。,他们 在 为 住房 买单 。,contradiction,他们 在 为 家园 买单 。
121,entailment,当然 ， 第二 天 ， 肯尼迪 总统 呢 ， 呃 ， 封锁 了 古巴 ， 而且 ， 呃 ， 我们 的 船只 停住 了 一 艘 正在 古巴 ,肯尼迪 告诉 我们 的 部队 去 寻找 导弹 。,neutral,肯尼迪 告诉 我们 的 陆军 干掉 征求 导弹 。
122,entailment,当然 ， 第二 天 ， 肯尼迪 总统 呢 ， 呃 ， 封锁 了 古巴 ， 而且 ， 呃 ， 我们 的 船只 停住 了 一 艘 正在 古巴 ,肯尼迪 告诉 我们 的 部队 去 寻找 导弹 。,contradiction,肯尼迪 招呼 真主 的 部队 去 搜寻 导弹 。
123,contradiction,当然 ， 第二 天 ， 肯尼迪 总统 呢 ， 呃 ， 封锁 了 古巴 ， 而且 ， 呃 ， 我们 的 船只 停住 了 一 艘 正在 古巴 ,他们 没有 阻止 任何 船只 因为 他们 不 想 有 冲突 。,neutral,他们 没有 阻止 甚至 船只 因为 他们 不 想 有 冲突 。
